S0,vegaCF,vegaPW,vegaLR
0.3,37.9433,37.6772,38.1184
0.302,37.9445,38.0412,38.7939
0.304,37.9456,37.7944,40.719
0.306,37.9465,37.9185,38.0782
0.308,37.9472,37.9732,39.1385
0.31,37.9478,38.033,37.8226
0.312,37.9482,38.0902,37.9971
0.314,37.9485,37.4773,37.6243
0.316,37.9486,38.538,38.6621
0.318,37.9485,37.9831,38.7672
0.32,37.9483,37.7504,38.865
0.322,37.9479,37.6687,38.4553
0.324,37.9474,37.8952,37.2643
0.326,37.9468,37.9448,38.7999
0.328,37.946,37.7074,38.1713
0.33,37.9451,38.2972,37.7623
0.332,37.9441,38.5236,37.6337
0.334,37.9429,37.6893,38.4215
0.336,37.9416,38.0755,39.06
0.338,37.9401,38.0716,37.8865
0.34,37.9386,37.7621,38.1754
0.342,37.9369,38.2055,36.7819
0.344,37.9351,37.8215,39.0145
0.346,37.9332,37.9994,38.2631
0.348,37.9311,37.9828,38.8648
0.35,37.929,38.1339,37.7542
0.352,37.9267,38.2504,37.4124
0.354,37.9243,38.14,36.9773
0.356,37.9218,37.7084,35.8533
0.358,37.9192,38.293,38.8366
0.36,37.9165,37.8221,36.9703
0.362,37.9137,37.4972,38.6373
0.364,37.9108,37.9239,39.7139
0.366,37.9078,37.6675,37.4826
0.368,37.9046,38.1398,38.1605
0.37,37.9014,38.2369,37.5484
0.372,37.8981,37.5242,38.5034
0.374,37.8947,38.1256,40.7459
0.376,37.8912,38.0405,38.2328
0.378,37.8876,38.0634,37.496
0.38,37.8839,37.8629,36.4946
0.382,37.8801,37.5804,39.0893
0.384,37.8762,37.9259,37.4285
0.386,37.8722,38.0645,36.1402
0.388,37.8682,38.218,37.5105
0.39,37.864,37.7121,38.4291
0.392,37.8598,37.5295,36.9412
0.394,37.8554,37.8972,39.7789
0.396,37.851,37.4181,36.7296
0.398,37.8466,38.1484,38.1544
0.4,37.842,37.7422,38.2611
0.402,37.8373,38.0489,36.4061
0.404,37.8326,38.1938,38.3468
0.406,37.8278,37.6015,37.088
0.408,37.8229,38.0783,38.9715
0.41,37.8179,37.9508,37.7055
0.412,37.8129,38.2497,36.6962
0.414,37.8077,38.1134,36.6192
0.416,37.8025,37.2724,37.8282
0.418,37.7973,37.8957,39.4505
0.42,37.7919,37.6315,38.2264
0.422,37.7865,37.7307,39.2221
0.424,37.781,37.7827,38.4308
0.426,37.7754,38.2651,37.2197
0.428,37.7698,36.8915,37.3345
0.43,37.7641,37.3906,35.9039
0.432,37.7583,37.6473,36.7338
0.434,37.7525,37.4521,37.9128
0.436,37.7465,37.903,38.53
0.438,37.7406,37.414,38.0953
0.44,37.7345,37.9995,37.7846
0.442,37.7284,37.6794,37.8686
0.444,37.7222,37.6502,39.5146
0.446,37.716,37.6595,39.3923
0.448,37.7096,38.0809,39.3079
0.45,37.7033,38.2486,38.074
0.452,37.6968,37.758,37.3506
0.454,37.6903,37.6411,38.0186
0.456,37.6837,37.8024,39.1263
0.458,37.6771,37.6483,38.3035
0.46,37.6704,37.1982,37.5108
0.462,37.6636,37.3124,38.146
0.464,37.6568,37.3901,36.3275
0.466,37.6499,37.8862,37.3337
0.468,37.643,37.8766,37.7128
0.47,37.636,37.6586,37.8854
0.472,37.6289,37.3307,37.9562
0.474,37.6218,37.8327,34.7835
0.476,37.6146,37.5672,39.2446
0.478,37.6074,37.6216,38.9101
0.48,37.6001,38.3206,38.7886
0.482,37.5927,37.1829,38.2176
0.484,37.5853,37.3339,36.6051
0.486,37.5779,37.4978,38.8225
0.488,37.5703,37.8105,37.3116
0.49,37.5628,37.81,36.135
0.492,37.5551,37.6099,37.3932
0.494,37.5474,38.2081,37.2734
0.496,37.5397,37.1916,37.9112
0.498,37.5319,37.6707,37.6504
0.5,37.524,37.4184,37.4548
